## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
tes_1,,"[""afg"",""xyz""]",,,,,,,,,,,,,,,,,
tes_2,,"[""afg"",""xyz""]",,,,,,,,,,,,,,,,,
tes_3,,"[""afg"",""xyz""]",,,,,,,,,,,,,,,,,
tes_4,,"[""afg"",""xyz""]",,,,,,,,,,,,,,,,,
tes_5,,"[""afg"",""xyz""]",,,,,,,,,,,,,,,,,
tes_6,,"[""afg"",""xyz""]",,,,,,,,,,,,,,,,,
tes_7,,"[""pqr"",""qty""]",,,,,,,,,,,,,,,,,
tes_8,,"[""pqr"",""qty""]",,,,,,,,,,,,,,,,,
tes_9,,"[""pqr"",""qty""]",,,,,,,,,,,,,,,,,
tes_10,,"[""pqr"",""qty""]",,,,,,,,,,,,,,,,,
tes_11,,"[""pqr"",""qty""]",,,,,,,,,,,,,,,,,
